id;nome;livello;descrizione;nome_id
1;Way Dominican Republic;59269;Handmade 24/7 Re-contextualized;9
2;Point Orchestrator;39882;bypassing optical;2
3;Bedfordshire;69581;HDD;4
4;red firewall open-source;34866;Rustic Quality;4
5;Cambridgeshire hacking;67569;bandwidth azure;6
6;Fiji Dollar Profound Bacon;98216;Borders content-based;10
7;Agent;55829;THX pink even-keeled;8
8;programming SCSI drive;88777;bypassing Marketing;8
9;New Zealand Dollar Alabama transform;94013;Supervisor clear-thinking;4
10;Buckinghamshire Ports;99445;Fish;1
